#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-330654.758844743,37038.264691693475,-293616.49415304954,184.1497299413967,0.9957489333630352
200,-329567.40627538133,40736.58885175164,-288830.8174236297,202.53734612642796,0.9957489333630352
300,-327250.66466170177,42339.320322009924,-284911.34433969186,210.50593131456802,0.9957489333630352
400,-324860.46341972053,44002.222130369744,-280858.2412893508,218.77367607738344,0.9957489333630352
500,-323450.47448776755,45980.312804025016,-277470.16168374254,228.6085013961546,0.9957489333630352
600,-321805.0362541415,47712.414137915126,-274092.62211622635,237.22029775114234,0.9957489333630352
700,-319968.031600391,48956.29754546523,-271011.7340549258,243.40473418426464,0.9957489333630352
800,-318541.93485663366,50195.784836737264,-268346.1500198964,249.5673136639865,0.9957489333630352
900,-316853.50154891703,50898.82556893921,-265954.6759799778,253.06274634827813,0.9957489333630352
1000,-315331.94673762564,51697.4172264557,-263634.52951116994,257.033246567153,0.9957489333630352
1100,-314076.85904885456,52853.45370962164,-261223.40533923294,262.7809188177148,0.9957489333630352
1200,-312667.9989049388,53259.74887893614,-259408.25002600267,264.8009687938288,0.9957489333630352
1300,-311782.8455127189,54376.409234065795,-257406.4362786531,270.3528677433362,0.9957489333630352
1400,-311105.5908826571,55134.41841190995,-255971.17247074714,274.1215968281091,0.9957489333630352
1500,-310327.7770406278,55782.483500369475,-254545.2935402583,277.3436973238441,0.9957489333630352
1600,-309293.7333037779,55840.97712124168,-253452.7561825362,277.6345204651703,0.9957489333630352
1700,-308700.3453527014,56591.4185405687,-252108.92681213267,281.3656235785649,0.9957489333630352
1800,-307658.0267954166,57119.45028381457,-250538.57651160203,283.9909329371056,0.9957489333630352
1900,-306639.1722042109,56964.28012497327,-249674.89207923762,283.2194458525069,0.9957489333630352
2000,-305716.22174760094,57103.74695252848,-248612.47479507246,283.91285789121497,0.9957489333630352
2100,-305440.0249131741,57366.291437252425,-248073.73347592168,285.2181970144693,0.9957489333630352
2200,-305067.9641791503,58129.570465158584,-246938.3937139917,289.0131271503397,0.9957489333630352
2300,-304390.3340412143,58156.87053604529,-246233.46350516903,289.14885976964604,0.9957489333630352
2400,-303850.80145948264,58534.45493610018,-245316.34652338247,291.0261633063797,0.9957489333630352
2500,-303257.9557034457,58739.92724681928,-244518.02845662643,292.0477465485839,0.9957489333630352
2600,-302773.7981043728,59167.724382274086,-243606.07372209872,294.1747016751121,0.9957489333630352
2700,-302688.8223050176,59778.373027266585,-242910.44927775103,297.2107721822076,0.9957489333630352
