#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-127286.37481479847,13942.495292762527,-113343.87952203595,186.09419119142245,1.018537270733841
200,-127038.40180363221,15522.492913732072,-111515.90888990014,207.18283947028024,1.018537270733841
300,-126060.17259027029,16092.34991073911,-109967.82267953118,214.7888723019962,1.018537270733841
400,-125430.64906832844,16776.82253645087,-108653.82653187757,223.9247103998308,1.018537270733841
500,-124794.95660534012,17468.652174428105,-107326.30443091202,233.15874449618505,1.018537270733841
600,-124014.23879414133,17827.949989961344,-106186.28880417999,237.9543879570232,1.018537270733841
700,-123351.49081665545,18199.22721124487,-105152.26360541058,242.90992373105513,1.018537270733841
800,-122870.2176182039,18721.334581442992,-104148.8830367609,249.87862959983428,1.018537270733841
900,-122282.88221252873,18963.14696271083,-103319.7352498179,253.10616373681688,1.018537270733841
1000,-121672.08635595569,19354.744281217747,-102317.34207473794,258.33291725045103,1.018537270733841
1100,-121498.18603147741,19777.564134669257,-101720.62189680815,263.9764062382924,1.018537270733841
1200,-121182.97477633355,19858.801270941214,-101324.17350539233,265.06069989246237,1.018537270733841
1300,-120688.59333735553,20087.094527772395,-100601.49880958314,268.10779068162026,1.018537270733841
1400,-120256.39985325222,20200.10204601803,-100056.2978072342,269.61613206993604,1.018537270733841
1500,-120331.44124847406,20563.81526537286,-99767.6259831012,274.47070909938645,1.018537270733841
1600,-119707.2973609526,20555.856503795832,-99151.44085715676,274.3644813928344,1.018537270733841
1700,-118989.98584164435,20473.00544436858,-98516.98039727577,273.2586462772601,1.018537270733841
1800,-119079.74117740209,21034.674160654424,-98045.06701674766,280.75538794939075,1.018537270733841
1900,-119072.47256969486,21436.011457000044,-97636.46111269481,286.1121435365459,1.018537270733841
2000,-118578.71740480373,21213.599776047748,-97365.11762875598,283.143555704221,1.018537270733841
2100,-118174.48514480807,21071.655801905115,-97102.82934290296,281.24899174648516,1.018537270733841
